name,email,region,products,profileUrl
Zelinářství,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/36
"Ovoce, Zelenina Budský",,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/37
bezobalu,bezobalu.org@gmail.com,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/38
Food Story,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/39
Ovoce a zelenina - Chrpa,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/40
"Ovoce - zelenina, koloniál U Drvotů",,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/41
Waldviertler Freilandeier Fam. Bauer,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/42
Sklepik warzywny,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/43
Kotásek,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/44
Uganda Farmers,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/45
Natural,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/46
Warzywniak,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/47
Zelenina a zahradnictví Syrovín,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/48
PaniPrzepyszna,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/49
občerstvení u Bulovky,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/50
Sady - prodejna,,Plzeňský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/51
Dziecic,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/52
Farmářské potraviny Stodola,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/53
Ovoce a zelenina VELKON,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/54
Meduňka,,Jihočeský kraj,🍯 Přírodní med|🕯️ Včelí vosk|🍶 Propolis|🌸 Pohankový med|🌳 Lesní med,https://mapafarem.cz/farma/55
Ovoce a zelenina Na konečné,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/56
ZDV Nošovice,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/57
Bedýnky Brno,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/58
"Frydrych, pěstitel a prodejce jablek",,Praha / Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/59
Fresh Fruit,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/60
Farmářské trhy Anděl,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/61
Hala Targowa,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/62
Hurtownia Owocowo-Warzywna,,Olomoucký kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/63
Biogärtnerei Schostek,,Středočeský kraj,🌱 Biozelenina|🥕 Kořenová zelenina|🥬 Salát|🍎 Bio ovoce|🌿 Bylinky,https://mapafarem.cz/farma/64
Sady Životice,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/65
Ovoce-zelenina,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/66
Zelpo,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/67
Zeleny bar s.r.o.,,Praha / Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/68
BIocentrum Krakov,,Středočeský kraj,🌱 Biozelenina|🥕 Kořenová zelenina|🥬 Salát|🍎 Bio ovoce|🌿 Bylinky,https://mapafarem.cz/farma/69
Hrbek,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/70
EBez,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/71
Netis,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/72
Zahradnické potreby,,Zlínský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/73
Farmářský obchod,info@farmarsky-obchod.cz,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/74
U Lidušky,slovany@obchodulidusky.cz,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/75
Zelenina u Halámků,,Zlínský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/76
Gusto Italia,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/77
Farma Pod Filipkou,r.chval@fep.cz,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/78
Naturhouse,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/79
Smíšenka,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/80
Kiosk Warzywny,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/81
Hercog,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/82
Moštárna Plzeň-Roudná,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/83
Pani Witaminka,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/84
Sady spol. s r. o. Bílé Podolí,sady@czfruit.cz,Praha / Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/85
Ovoce - Zelenina Vašíčkovi,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/86
U moudré kozy,umoudrekozy@seznam.cz,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/87
Mini Market Potraviny,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/88
Hennea s.r.o,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/89
Potraviny samoobsluha,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/90
Ogrody Smaków,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/91
Denne cerstve,,Liberecký kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/92
U Dvořáků,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/93
Sadba Kejmar,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/94
Dědova farma,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/95
Jahodárna Vraňany,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/96
Zelený eshop,rakus@zelenyeshop.cz,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/97
Farma Ledce Farmářský obchod,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/98
Rodinná farma,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/99
La natura,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/100
"Twardzik CZ, s.r.o.",,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/101
U Slováků,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/102
"Ovoce, Zelenina - Vladimír Beneš",,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/103
Farma Etelka,etelka@etelka.sk,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/104
Zelenina Zbuzany,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/105
prodej zmrzliny algida,,Olomoucký kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/106
Bochenek,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/107
"Ovoce a zelenina ""Na Pěší zóně""",,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/108
Biofarma Hampl,,Liberecký kraj,🌱 Biozelenina|🥕 Kořenová zelenina|🥬 Salát|🍎 Bio ovoce|🌿 Bylinky,https://mapafarem.cz/farma/109
Bracia Nowak,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/110
Jasmínko,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/111
Rodinná farma Lenka,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/112
BIO-HOF SCHRENK,,Jihočeský kraj,🌱 Biozelenina|🥕 Kořenová zelenina|🥬 Salát|🍎 Bio ovoce|🌿 Bylinky,https://mapafarem.cz/farma/113
Vesa - Prodej brambor (sadba/konzum),,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/114
Zeleninová bedýnka,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/115
Krámek,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/116
U Zelinků,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/117
Jumbo Fruits,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/118
Community Foods,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/119
Owocowy Raj,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/120
Ovocnářství Zdeněk Loukota,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/121
Ovoce zelenina potraviny,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/122
Local groceries,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/123
Prodejní automat na rajčata,,Zlínský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/124
Čerstvá vejce,,Zlínský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/125
Kovář,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/126
Biorofi,,Středočeský kraj,🌱 Biozelenina|🥕 Kořenová zelenina|🥬 Salát|🍎 Bio ovoce|🌿 Bylinky,https://mapafarem.cz/farma/127
Microgreens,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/128
Truskawki,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/129
Gregor,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/130
Farmářská prodejna na Ráječku,prodejna@farmarajecek.cz,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/131
Rubin,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/132
Rajčata,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/133
Sociální podnik Jasan,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/134
Statek Jinačovice,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/135
Landlädchen,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/136
Bohumír Procházka,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/137
Biohofladen Trauner,,Jihočeský kraj,🌱 Biozelenina|🥕 Kořenová zelenina|🥬 Salát|🍎 Bio ovoce|🌿 Bylinky,https://mapafarem.cz/farma/138
Predaj z dvora,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/139
Bio Selfie,,Jihočeský kraj,🌱 Biozelenina|🥕 Kořenová zelenina|🥬 Salát|🍎 Bio ovoce|🌿 Bylinky,https://mapafarem.cz/farma/140
Farma Čeperka Prodej Vajec,,Praha / Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/141
Monika Viktorová,,Praha / Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/142
Erpfi & Honig,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/143
Samo Dobre,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/144
Farma Novák,,Praha / Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/145
Hofkollektiv Zwetschke,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/146
CZ Fruit,,Zlínský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/147
U Grzesia,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/148
Warzywniak Na Rynku,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/149
Waldviertler Erpfi & Mohn,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/150
Wastex,,Zlínský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/151
Josef Mikulášek,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/152
Dagmar Machalová,,Zlínský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/153
Dobrá stodola,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/154
